INFO 2025-09-01 18:17:55,825 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2025-09-01 18:17:55,827 basehttp "GET /static/admin/js/filters.js HTTP/1.1" 304 0
INFO 2025-09-01 18:17:55,869 basehttp "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
INFO 2025-09-01 18:17:55,869 basehttp "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 304 0
INFO 2025-09-01 18:17:58,640 basehttp "GET /admin/Ai_processing/aiprocessingsettings/ HTTP/1.1" 200 18378
INFO 2025-09-01 18:17:58,674 basehttp "GET /static/admin/img/search.svg HTTP/1.1" 304 0
INFO 2025-09-01 18:17:58,677 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-09-01 18:17:58,694 basehttp "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 304 0
INFO 2025-09-01 18:18:00,301 basehttp "GET /admin/Ai_processing/aiprompttemplate/ HTTP/1.1" 200 17831
INFO 2025-09-01 18:18:00,343 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-09-01 18:18:01,600 basehttp "GET /admin/Ai_processing/emailprocessinglog/ HTTP/1.1" 200 19430
INFO 2025-09-01 18:18:01,638 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-09-01 18:18:12,070 basehttp "GET /api/email-accounts/ HTTP/1.1" 200 21
INFO 2025-09-01 18:18:12,074 basehttp "GET /api/get-emails/ HTTP/1.1" 200 51
INFO 2025-09-01 18:18:12,082 basehttp "GET /api/email-accounts/ HTTP/1.1" 200 21
INFO 2025-09-01 18:18:12,089 basehttp "GET /api/get-emails/ HTTP/1.1" 200 51
INFO 2025-09-01 18:18:23,866 basehttp "GET /api/email-accounts/ HTTP/1.1" 200 221
INFO 2025-09-01 18:18:23,876 basehttp "GET /api/get-emails/ HTTP/1.1" 200 5250
INFO 2025-09-01 18:18:23,881 basehttp "GET /api/email-accounts/ HTTP/1.1" 200 221
INFO 2025-09-01 18:18:23,886 basehttp "GET /api/get-emails/ HTTP/1.1" 200 5250
INFO 2025-09-01 18:18:59,506 basehttp "GET /admin/Ai_processing/emailprocessinglog/ HTTP/1.1" 200 19430
INFO 2025-09-01 18:18:59,529 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-09-01 18:19:02,112 basehttp "GET /admin/Ai_processing/aiprocessingsettings/ HTTP/1.1" 200 18378
INFO 2025-09-01 18:19:02,149 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-09-01 18:19:03,647 basehttp "GET /admin/Ai_processing/aiprompttemplate/ HTTP/1.1" 200 17831
INFO 2025-09-01 18:19:03,706 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-09-01 18:19:05,087 basehttp "GET /admin/Ai_processing/emailprocessinglog/ HTTP/1.1" 200 19430
INFO 2025-09-01 18:19:05,123 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-09-01 18:21:27,463 basehttp "GET /admin/User/emailmessage/ HTTP/1.1" 200 22947
INFO 2025-09-01 18:21:27,494 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-09-01 18:22:19,015 basehttp "GET /admin/Ai_processing/aiprocessingsettings/ HTTP/1.1" 200 22109
INFO 2025-09-01 18:22:19,048 basehttp "GET /static/admin/img/icon-yes.svg HTTP/1.1" 304 0
INFO 2025-09-01 18:22:19,050 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-09-01 18:23:03,524 autoreload D:\AI powered Email Automation - Copy\backend\email_automation_backend\Ai_processing\ai_service.py changed, reloading.
INFO 2025-09-01 18:23:05,147 autoreload Watching for file changes with StatReloader
INFO 2025-09-01 18:23:31,205 basehttp "OPTIONS /api/ai-rules/ HTTP/1.1" 200 0
INFO 2025-09-01 18:23:31,206 basehttp "OPTIONS /api/ai-rules/ HTTP/1.1" 200 0
INFO 2025-09-01 18:23:31,243 basehttp "GET /api/email-accounts/ HTTP/1.1" 200 221
INFO 2025-09-01 18:23:31,244 basehttp "GET /api/ai-rules/ HTTP/1.1" 200 12
INFO 2025-09-01 18:23:31,265 basehttp "GET /api/email-accounts/ HTTP/1.1" 200 221
INFO 2025-09-01 18:23:31,269 basehttp "GET /api/ai-rules/ HTTP/1.1" 200 12
INFO 2025-09-01 18:23:35,668 basehttp "GET /api/email-accounts/ HTTP/1.1" 200 221
INFO 2025-09-01 18:23:35,674 basehttp "GET /api/get-emails/ HTTP/1.1" 200 5250
INFO 2025-09-01 18:23:35,681 basehttp "GET /api/email-accounts/ HTTP/1.1" 200 221
INFO 2025-09-01 18:23:35,689 basehttp "GET /api/get-emails/ HTTP/1.1" 200 5250
INFO 2025-09-01 18:24:03,228 autoreload D:\AI powered Email Automation - Copy\backend\email_automation_backend\Ai_processing\ai_service.py changed, reloading.
INFO 2025-09-01 18:24:04,595 autoreload Watching for file changes with StatReloader
INFO 2025-09-01 18:24:52,573 autoreload D:\AI powered Email Automation - Copy\backend\email_automation_backend\Ai_processing\ai_service.py changed, reloading.
INFO 2025-09-01 18:24:53,989 autoreload Watching for file changes with StatReloader
INFO 2025-09-01 18:26:50,211 autoreload D:\AI powered Email Automation - Copy\backend\email_automation_backend\Ai_processing\ai_service.py changed, reloading.
INFO 2025-09-01 18:26:51,580 autoreload Watching for file changes with StatReloader
INFO 2025-09-01 18:30:39,028 autoreload D:\AI powered Email Automation - Copy\backend\email_automation_backend\Ai_processing\tasks.py changed, reloading.
INFO 2025-09-01 18:30:41,744 autoreload Watching for file changes with StatReloader
INFO 2025-09-01 18:35:24,946 basehttp "GET /api/email-accounts/ HTTP/1.1" 200 221
INFO 2025-09-01 18:35:24,958 basehttp "GET /api/get-emails/ HTTP/1.1" 200 5250
INFO 2025-09-01 18:35:24,977 basehttp "GET /api/email-accounts/ HTTP/1.1" 200 221
INFO 2025-09-01 18:35:25,015 basehttp "GET /api/get-emails/ HTTP/1.1" 200 5250
INFO 2025-09-01 19:04:49,553 autoreload C:\Users\ahmad\AppData\Local\Programs\Python\Python313\Lib\site-packages\openai\types\fine_tuning\jobs\checkpoint_list_params.py changed, reloading.
INFO 2025-09-01 19:04:51,593 autoreload Watching for file changes with StatReloader
INFO 2025-09-01 19:07:16,201 basehttp "OPTIONS /api/email-accounts/ HTTP/1.1" 200 0
INFO 2025-09-01 19:07:16,201 basehttp "OPTIONS /api/get-emails/ HTTP/1.1" 200 0
INFO 2025-09-01 19:07:16,202 basehttp "OPTIONS /api/email-accounts/ HTTP/1.1" 200 0
INFO 2025-09-01 19:07:16,204 basehttp "OPTIONS /api/get-emails/ HTTP/1.1" 200 0
INFO 2025-09-01 19:07:16,217 basehttp "GET /api/email-accounts/ HTTP/1.1" 200 221
INFO 2025-09-01 19:07:16,229 basehttp "GET /api/get-emails/ HTTP/1.1" 200 5250
INFO 2025-09-01 19:07:16,234 basehttp "GET /api/email-accounts/ HTTP/1.1" 200 221
INFO 2025-09-01 19:07:16,238 basehttp "GET /api/get-emails/ HTTP/1.1" 200 5250
INFO 2025-09-01 19:08:07,965 autoreload D:\AI powered Email Automation - Copy\backend\email_automation_backend\Ai_processing\ai_service.py changed, reloading.
INFO 2025-09-01 19:08:09,248 autoreload Watching for file changes with StatReloader
INFO 2025-09-01 19:11:14,569 autoreload Watching for file changes with StatReloader
INFO 2025-09-01 19:11:25,508 basehttp "GET /api/email-accounts/ HTTP/1.1" 200 221
INFO 2025-09-01 19:11:25,519 basehttp "GET /api/get-emails/ HTTP/1.1" 200 5250
INFO 2025-09-01 19:11:25,523 basehttp "GET /api/email-accounts/ HTTP/1.1" 200 221
INFO 2025-09-01 19:11:25,532 basehttp "GET /api/get-emails/ HTTP/1.1" 200 5250
INFO 2025-09-01 19:11:28,064 basehttp "GET /api/email-accounts/ HTTP/1.1" 200 221
INFO 2025-09-01 19:11:28,070 basehttp "GET /api/get-emails/ HTTP/1.1" 200 5250
INFO 2025-09-01 19:11:28,078 basehttp "GET /api/email-accounts/ HTTP/1.1" 200 221
INFO 2025-09-01 19:11:28,090 basehttp "GET /api/get-emails/ HTTP/1.1" 200 5250
INFO 2025-09-01 19:11:40,253 basehttp "OPTIONS /api/get-emails/ HTTP/1.1" 200 0
INFO 2025-09-01 19:11:40,253 basehttp "OPTIONS /api/email-accounts/ HTTP/1.1" 200 0
INFO 2025-09-01 19:11:40,254 basehttp "OPTIONS /api/email-accounts/ HTTP/1.1" 200 0
INFO 2025-09-01 19:11:40,254 basehttp "OPTIONS /api/get-emails/ HTTP/1.1" 200 0
INFO 2025-09-01 19:11:40,266 basehttp "GET /api/email-accounts/ HTTP/1.1" 200 21
INFO 2025-09-01 19:11:40,274 basehttp "GET /api/get-emails/ HTTP/1.1" 200 51
INFO 2025-09-01 19:11:40,285 basehttp "GET /api/email-accounts/ HTTP/1.1" 200 21
INFO 2025-09-01 19:11:40,291 basehttp "GET /api/get-emails/ HTTP/1.1" 200 51
INFO 2025-09-01 19:11:43,967 basehttp "GET /api/email-accounts/ HTTP/1.1" 200 21
INFO 2025-09-01 19:11:43,975 basehttp "GET /api/get-emails/ HTTP/1.1" 200 51
INFO 2025-09-01 19:11:43,983 basehttp "GET /api/email-accounts/ HTTP/1.1" 200 21
INFO 2025-09-01 19:11:43,987 basehttp "GET /api/get-emails/ HTTP/1.1" 200 51
INFO 2025-09-01 19:13:47,638 basehttp "POST /api/manual-email-refresh/ HTTP/1.1" 200 313
INFO 2025-09-01 19:13:50,662 basehttp "GET /api/get-emails/ HTTP/1.1" 200 6057
INFO 2025-09-01 19:16:46,817 basehttp "GET /api/email-accounts/ HTTP/1.1" 200 221
INFO 2025-09-01 19:16:46,827 basehttp "GET /api/get-emails/ HTTP/1.1" 200 6057
INFO 2025-09-01 19:16:46,836 basehttp "GET /api/email-accounts/ HTTP/1.1" 200 221
INFO 2025-09-01 19:16:46,858 basehttp "GET /api/get-emails/ HTTP/1.1" 200 6057
INFO 2025-09-01 19:17:20,605 basehttp "GET /api/email-accounts/ HTTP/1.1" 200 221
INFO 2025-09-01 19:17:20,610 basehttp "GET /api/get-emails/ HTTP/1.1" 200 6875
INFO 2025-09-01 19:17:20,620 basehttp "GET /api/email-accounts/ HTTP/1.1" 200 221
INFO 2025-09-01 19:17:20,625 basehttp "GET /api/get-emails/ HTTP/1.1" 200 6875
INFO 2025-09-01 19:17:25,240 basehttp "OPTIONS /api/email-content/bb6def42-1861-4f94-806f-bab784547485/ HTTP/1.1" 200 0
INFO 2025-09-01 19:17:25,252 basehttp "GET /api/email-content/bb6def42-1861-4f94-806f-bab784547485/ HTTP/1.1" 200 4134
INFO 2025-09-01 19:34:53,633 basehttp "GET /api/email-content/bb6def42-1861-4f94-806f-bab784547485/ HTTP/1.1" 200 4134
INFO 2025-09-01 19:41:25,087 basehttp "OPTIONS /api/disconnect-email-account/ HTTP/1.1" 200 0
